query_run_id,region_ids,worker_task_region_ids,region_count,worker_task_region_count,regions_complete,worker_regions_complete,edge_ids,edge_source_region_ids,edge_destination_gac_ids,edge_count,edges_complete
20260802T014642Z-pressure-raw-v1-n3-colocation-holdou--fb9a18f937df--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T014756Z-pressure-raw-v1-n3-colocation-holdou--fb9a18f937df--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T014909Z-pressure-raw-v1-n3-colocation-holdou--fb9a18f937df--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T015055Z-pressure-raw-v1-n3-colocation-holdou--ba2b315f20fa--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T015209Z-pressure-raw-v1-n3-colocation-holdou--e624812abdc8--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T015303Z-pressure-raw-v1-n3-colocation-holdou--ba2b315f20fa--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T015417Z-pressure-raw-v1-n3-colocation-holdou--e624812abdc8--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T015504Z-pressure-raw-v1-n3-colocation-holdou--e624812abdc8--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T015553Z-pressure-raw-v1-n3-colocation-holdou--4ac9ca4a9f5e--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260802T015708Z-pressure-raw-v1-n3-colocation-holdou--149997694680--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
