matrix,source_feature,output_feature,status,reason,transform,imputation,center,scale,null_fraction,non_null_count,distinct_non_null_count
m1,remote_sort_present,remote_sort_present,kept,,identity,none,0.04,0.19595917942265423,0.0,150,2
m1,main_finalize_after_remote,main_finalize_after_remote,kept,,identity,none,0.84,0.3666060555964672,0.0,150,2
m1,blocking_operator_count,blocking_operator_count,kept,,log1p,none,1.8363927857863152,0.7586206220548627,0.0,150,7
m1,blocking_operator_min_depth,blocking_operator_min_depth,kept,,identity,none,0.7,0.458257569495584,0.0,150,2
m1,blocking_operator_above_remote_count,blocking_operator_above_remote_count,kept,,log1p,none,1.610999160947335,0.7571604861315318,0.0,150,7
m1,blocking_operator_below_remote_count,blocking_operator_below_remote_count,kept,,log1p,none,0.18894773656918765,0.827923967055129,0.0,150,3
m1,first_blocking_operator_type__aggregate,first_blocking_operator_type__aggregate,kept,,identity,none,0.2,0.4,0.0,150,2
m1,first_blocking_operator_type__incremental_sort,first_blocking_operator_type__incremental_sort,kept,,identity,none,0.24,0.4270831300812525,0.0,150,2
m1,first_blocking_operator_type__sort,first_blocking_operator_type__sort,kept,,identity,none,0.56,0.4963869458396343,0.0,150,2
m1,first_blocking_operator_depth,first_blocking_operator_depth,kept,,identity,none,0.7,0.458257569495584,0.0,150,2
m1,dominant_time_node_type__aggregate,dominant_time_node_type__aggregate,kept,,identity,none,0.2,0.4,0.0,150,2
m1,dominant_time_node_type__limit,dominant_time_node_type__limit,kept,,identity,none,0.7,0.458257569495584,0.0,150,2
m1,dominant_time_node_type__sort,dominant_time_node_type__sort,kept,,identity,none,0.1,0.30000000000000004,0.0,150,2
m1,dominant_time_node_actual_time_share,dominant_time_node_actual_time_share,kept,,identity,none,0.16354295549347753,0.06952478156653887,0.0,150,150
m1,dominant_rows_node_type__append,dominant_rows_node_type__append,kept,,identity,none,0.02,0.13999999999999999,0.0,150,2
m1,dominant_rows_node_type__bitmap_heap_scan,dominant_rows_node_type__bitmap_heap_scan,kept,,identity,none,0.006666666666666667,0.08137703743822468,0.0,150,2
m1,dominant_rows_node_type__custom_scan,dominant_rows_node_type__custom_scan,kept,,identity,none,0.82,0.38418745424597095,0.0,150,2
m1,dominant_rows_node_type__seq_scan,dominant_rows_node_type__seq_scan,kept,,identity,none,0.07333333333333333,0.2606828639468954,0.0,150,2
m1,dominant_rows_node_type__sort,dominant_rows_node_type__sort,kept,,identity,none,0.08,0.2712931993250107,0.0,150,2
m1,dominant_rows_node_depth,dominant_rows_node_depth,kept,,identity,none,1.02,2.5019192632856884,0.0,150,5
m1,dominant_rows_node_row_share,dominant_rows_node_row_share,kept,,identity,none,0.37194226962997406,0.21672864598020614,0.0,150,143
m1,main_root_actual_total_time_ms,main_root_actual_total_time_ms,kept,,log1p,none,7.031974921354249,1.7048878126393499,0.0,150,150
m1,main_root_actual_rows,main_root_actual_rows,kept,,log1p,none,2.8004578552261497,1.4568637102940716,0.0,150,10
