matrix,query_run_id,kept,reason
m1,20260702T013913Z-clean-run-eu-us-gac-region-asymmetry--c5792baccb15--event_filter_summary__lookback_days-30__min_value-0,1,
m1,20260702T013931Z-clean-run-eu-us-gac-region-asymmetry--22d0b4db5ac4--__limit_k-100__payload_repeat-16__payload_width-512,1,
m1,20260702T013948Z-clean-run-eu-us-gac-region-asymmetry--9488ea0f8abc--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1,
m1,20260702T014004Z-clean-run-eu-us-gac-region-asymmetry--1385a7c503d4--vent_filter_summary__lookback_days-7__min_value-900,1,
m1,20260702T014020Z-clean-run-eu-us-gac-region-asymmetry--17a718312dda--egion_global_user_join__lookback_days-7__limit_k-50,1,
m1,20260702T014042Z-clean-run-eu-us-gac-region-asymmetry--db3d7f271830--egion_tenant_tier_join__lookback_days-7__limit_k-50,1,
m1,20260702T014102Z-clean-run-eu-us-gac-region-asymmetry--8fff880f2007--t_rollup__lookback_days-14__min_value-0__limit_k-50,1,
m1,20260702T014122Z-clean-run-eu-us-gac-region-asymmetry--bbc458791215--ent_filter_summary__lookback_days-30__min_value-500,1,
m1,20260702T014140Z-clean-run-eu-us-gac-region-asymmetry--660e758ab774--ion_user_segment_join__lookback_days-30__limit_k-50,1,
m1,20260702T014202Z-clean-run-eu-us-gac-region-asymmetry--e00346e7e557--t_rollup__lookback_days-30__min_value-0__limit_k-50,1,
m1,20260702T014221Z-clean-run-eu-us-gac-region-asymmetry--5463079614c7--gion_user_segment_join__lookback_days-7__limit_k-50,1,
m1,20260702T014245Z-clean-run-eu-us-gac-region-asymmetry--eca066caf657--ulti_dimension_rollup__lookback_days-30__limit_k-50,1,
m1,20260702T014309Z-clean-run-eu-us-gac-region-asymmetry--b88dbb1240be--_fdw_multiregion_raw_region_rollup__lookback_days-1,1,
m1,20260702T014332Z-clean-run-eu-us-gac-region-asymmetry--c1ae9260233e--_event_filter_summary__lookback_days-7__min_value-0,1,
m1,20260702T014355Z-clean-run-eu-us-gac-region-asymmetry--39114deb76d4--vent_filter_summary__lookback_days-1__min_value-500,1,
m1,20260702T014413Z-clean-run-eu-us-gac-region-asymmetry--470b16c5a833--ultiregion_top_tenants__lookback_days-7__limit_k-50,1,
m1,20260702T014431Z-clean-run-eu-us-gac-region-asymmetry--0d5790d2e0f5--ultiregion_top_tenants__lookback_days-7__limit_k-25,1,
m1,20260702T014450Z-clean-run-eu-us-gac-region-asymmetry--d99fdf35990b--__gac_etl_top_tenants__lookback_days-30__limit_k-25,1,
m1,20260702T014507Z-clean-run-eu-us-gac-region-asymmetry--301c8b68879c--rollup__lookback_days-14__min_value-500__limit_k-50,1,
m1,20260702T014528Z-clean-run-eu-us-gac-region-asymmetry--6f634031aeff--__limit_k-250__payload_repeat-16__payload_width-512,1,
m1,20260702T014548Z-clean-run-eu-us-gac-region-asymmetry--d29c00d8343b--_rollup__lookback_days-7__min_value-500__limit_k-50,1,
