k,seed,objective,iterations,converged,silhouette_hard_labels,partition_coefficient,modified_partition_coefficient,partition_entropy,normalized_partition_entropy,xie_beni_index,avg_max_membership,avg_top2_margin,cluster_min_share,cluster_max_share
4,6,142.89010978804635,20,True,0.6095309433990855,0.8337816583951797,0.7783755445269063,0.3483272442439169,0.25126499393860885,0.2883754991827503,0.8952531766829611,0.8336959825681544,0.12067209775967414,0.4959266802443992
4,7,142.89009872533018,19,True,0.6095309433990855,0.8337885085791761,0.7783846781055681,0.3483167649484104,0.25125743472477924,0.28833375715223947,0.8952558088384226,0.833701383803613,0.12067209775967414,0.4959266802443992
4,8,142.89008904391034,23,True,0.6095309433990855,0.8337956997030633,0.7783942662707511,0.3483057969236216,0.25124952296729364,0.28829018576544174,0.8952585029037784,0.8337069266591729,0.12067209775967414,0.4959266802443992
4,9,142.8900974385887,18,True,0.6095309433990855,0.8337893356933874,0.7783857809245166,0.34831550820184737,0.25125652817376215,0.2883287718761236,0.8952561142008981,0.8337020127536332,0.12067209775967414,0.4959266802443992
5,0,114.70149050245502,21,True,0.4306448663895395,0.7439691132084463,0.6799613915105579,0.4987725959427648,0.30990483826022547,0.7227247928630787,0.8161368860442352,0.6951593780482902,0.1334012219959267,0.2790224032586558
5,1,113.90568181746478,19,True,0.46644688366573533,0.7601672433761559,0.700209054220195,0.4815103387750466,0.2991791948325701,0.6949871859759973,0.839783995493706,0.7346580843863847,0.12067209775967414,0.28105906313645623
5,2,114.7014805435452,24,True,0.4306448663895395,0.7439729108039225,0.679966138504903,0.49876477402227193,0.30989997822776794,0.7227612194212122,0.8161423274098998,0.6951718530408408,0.1334012219959267,0.2790224032586558
5,3,114.84774037307426,21,True,0.6045804137129906,0.8288466745659667,0.7860583432074583,0.37458391046036,0.23274206949297127,0.3606297630630137,0.8848007217461378,0.8313958053464641,0.09623217922606925,0.4959266802443992
5,4,114.84773547403304,18,True,0.6045804137129906,0.8288496623554181,0.7860620779442725,0.3745798323726869,0.2327395356346338,0.36059165552778755,0.884796810900084,0.8313892648253101,0.09623217922606925,0.4959266802443992
5,5,114.70145982431008,26,True,0.4306448663895395,0.7439784809129133,0.6799731011411416,0.49874941524098193,0.30989043528040017,0.7227865655129596,0.81614992867583,0.6951905923260447,0.1334012219959267,0.2790224032586558
5,6,114.84774219784427,22,True,0.6045804137129906,0.8288452894712959,0.7860566118391199,0.37458457696262626,0.23274248361411326,0.36068336247096644,0.8847967631401854,0.8313888511554848,0.09623217922606925,0.4959266802443992
5,7,114.84773886671212,18,True,0.6045804137129906,0.8288475701012741,0.7860594626265927,0.3745820588005776,0.23274091899206156,0.360633021901413,0.8847993131865778,0.8313933277828052,0.09623217922606925,0.4959266802443992
5,8,113.90568115489037,28,True,0.46644688366573533,0.7601596702489927,0.7001995878112407,0.48151431787200216,0.2991816671845166,0.6947393122259761,0.8397647378644449,0.7346194280816816,0.12067209775967414,0.28105906313645623
5,9,113.90567013949835,23,True,0.46644688366573533,0.7601647296970632,0.7002059121213289,0.48150917160378304,0.2991784696282894,0.6948069388169625,0.8397706937110762,0.7346312923826854,0.12067209775967414,0.28105906313645623
6,0,88.48422748509697,22,True,0.47621239384181446,0.7709522008504681,0.7251426410205618,0.4704925509068706,0.26258689237432814,0.5333989121808587,0.8388410349598167,0.7407981114653901,0.09623217922606925,0.28105906313645623
6,1,88.48423092619967,19,True,0.47621239384181446,0.7709502069005666,0.7251402482806799,0.47049534711960633,0.26258845297037003,0.5333794786853215,0.8388397384579755,0.7407955857259225,0.09623217922606925,0.28105906313645623
6,2,88.48424073849516,19,True,0.47621239384181446,0.7709155781229794,0.7250986937475753,0.4705083696233988,0.26259572096812095,0.532382685489385,0.8387397126994492,0.7405946008667698,0.09623217922606925,0.28105906313645623
6,3,88.48422473462975,18,True,0.47621239384181446,0.7709474569018864,0.7251369482822637,0.4704946720601996,0.2625880762125416,0.5332713949295098,0.838827232062125,0.7407709978972927,0.09623217922606925,0.28105906313645623
