query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3,dataset,ood_above_frozen_p99,distance_over_p99
20260706T014339Z-clean-run-eu-us-gac-validation-holdo--031edc166636--ion_user_segment_join__lookback_days-30__limit_k-50,1,0.9438846086704087,0.26792325061372646,0.19326577249963706,0.25698728129321396,0.9124854795283939,0.019068879933618377,0.9438846086704087,0.03139912914201481,0.00564738225395802,validation_holdout_195,False,0.25903593113431267
20260706T014358Z-clean-run-eu-us-gac-validation-holdo--884650f34f3d--ultiregion_top_tenants__lookback_days-7__limit_k-50,1,0.9877747005407574,0.0768217368044391,0.055415169360120725,0.13471938639923764,0.9804637240992592,0.003832107778445952,0.9877747005407574,0.007310976441498285,0.0010822152392983883,validation_holdout_195,False,0.13579334168663887
20260706T014415Z-clean-run-eu-us-gac-validation-holdo--4dece9c821e1--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0,0.8322782758701204,0.5832734047289331,0.42074282424242654,0.2939900966912231,0.7115450060302453,0.8322782758701204,0.028390264077147377,0.1207332698398751,0.018598190212857257,validation_holdout_195,False,0.29633372537914987
20260706T014431Z-clean-run-eu-us-gac-validation-holdo--14fc7ea98c5d--ultiregion_top_tenants__lookback_days-1__limit_k-50,1,0.9871791914842578,0.07996220139886175,0.05768053570835119,0.13666502267628347,0.9795315411817088,0.0040386018582769315,0.9871791914842578,0.00764765030254894,0.0011345563549164368,validation_holdout_195,False,0.13775448817660166
20260706T014448Z-clean-run-eu-us-gac-validation-holdo--15086a647d5d--gion_user_segment_join__lookback_days-7__limit_k-25,1,0.9472444498620058,0.25494127405519107,0.18390125589866915,0.24831765529314614,0.9174547461910315,0.017780952384807844,0.9472444498620058,0.029789703670974308,0.005184894082211993,validation_holdout_195,False,0.250297192655845
20260706T014507Z-clean-run-eu-us-gac-validation-holdo--7b231b3b8b3b--eu_tenant_id-5__us_tenant_id-10001__lookback_days-7,0,0.8323335944815659,0.5831423419985118,0.42064828246681446,0.2939482651789156,0.7116405003790371,0.8323335944815659,0.028380640826862685,0.12069309410252875,0.0185926705890427,validation_holdout_195,False,0.2962915603946152
20260706T014522Z-clean-run-eu-us-gac-validation-holdo--e9d8bb30c16a--eu_tenant_id-5__us_tenant_id-10800__lookback_days-7,0,0.830076299632621,0.588507504923659,0.42451842943965,0.2956766030978281,0.7077661256535499,0.830076299632621,0.028789521738640345,0.12231017397907112,0.018824004649667422,validation_holdout_195,False,0.29803367626854993
20260706T014537Z-clean-run-eu-us-gac-validation-holdo--26f3032b8ce4--ulti_dimension_rollup__lookback_days-30__limit_k-50,1,0.8475249396447581,0.573586497394938,0.4137551976562737,0.4146202389903921,0.7668146680439912,0.053050697226335215,0.8475249396447581,0.08071027160076687,0.018714091528139794,validation_holdout_195,False,0.4179255064045986
20260706T014556Z-clean-run-eu-us-gac-validation-holdo--c5445b20b569--u_tenant_id-20__us_tenant_id-10001__lookback_days-7,0,0.8313963484399042,0.5853735347456521,0.42225774782259784,0.29466550143975734,0.7100312822317373,0.8313963484399042,0.02855006674822741,0.12136506620816685,0.018688518603701645,validation_holdout_195,False,0.29701451431566334
20260706T014611Z-clean-run-eu-us-gac-validation-holdo--51d5b47400e9--gion_global_user_join__lookback_days-30__limit_k-25,1,0.9831838596429464,0.10078626762343774,0.07270192424502077,0.16338461916159164,0.9736272638880605,0.0055916657660693,0.9831838596429464,0.009556595754885877,0.001667878836098405,validation_holdout_195,False,0.16468708779894597
