query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3
20260626T114429Z-clean-run-eu-us-gac-v1__pilot-balanc--f77810cb1b3a--tenant_point_rollup__tenant_id-100__lookback_days-1,0,0.8718612352886955,0.48520941028085995,0.3500046050024275,0.2673358038517119,0.7808891116934331,0.8718612352886955,0.021773686079551356,0.09097212359526247,0.01539295503649056
20260626T114444Z-clean-run-eu-us-gac-v1__pilot-balanc--ac2093b36f03--_fdw_global_user_join__lookback_days-1__limit_k-100,1,0.9916702909779725,0.05571927115577252,0.04019295808919024,0.12367324805145981,0.9868593447162737,0.0027325543847402166,0.9916702909779725,0.00481094626169887,0.0007862083755884073
20260626T114505Z-clean-run-eu-us-gac-v1__pilot-balanc--de704aced79b--enant_point_rollup__tenant_id-1000__lookback_days-1,3,0.9987722931936394,0.010712137365637609,0.007727173727363371,0.07766904416616449,0.998176006706237,0.0005962864874024352,0.000216366042783844,0.0004150542761742886,0.9987722931936394
20260626T114520Z-clean-run-eu-us-gac-v1__pilot-balanc--9b4c753a2606--egion_tenant_tier_join__lookback_days-3__limit_k-10,1,0.9001305558855585,0.4167907927677778,0.3006510049071264,0.3074069628729231,0.8450838730121758,0.03521342492253405,0.9001305558855585,0.05504668287338268,0.009609336318524698
20260626T114543Z-clean-run-eu-us-gac-v1__pilot-balanc--b384222632f1--_fdw_user_segment_join__lookback_days-7__limit_k-50,1,0.9882074895943965,0.07476518906003929,0.053931683744022234,0.1398656895661353,0.9814073907875677,0.003882225250311356,0.9882074895943965,0.006800098806828858,0.001110186348463161
20260626T114604Z-clean-run-eu-us-gac-v1__pilot-balanc--c60cefe42ed2--_fdw_global_user_join__lookback_days-3__limit_k-100,1,0.9916439307428889,0.05587008398528267,0.0403017465498086,0.12382529769018079,0.9868188468522935,0.0027419828111426145,0.9916439307428889,0.004825083890595487,0.0007890025553730716
20260626T114623Z-clean-run-eu-us-gac-v1__pilot-balanc--f25ee678287d--etl_user_segment_topk__lookback_days-30__limit_k-10,3,0.9980100548540298,0.01640952819658147,0.011836972476267851,0.09272521226971447,0.9970552357180337,0.000954819135996145,0.00035738955557197504,0.00067773645440206,0.9980100548540298
20260626T114638Z-clean-run-eu-us-gac-v1__pilot-balanc--6e8351e4cfc6--_tenant_tier_left_join__lookback_days-3__limit_k-25,1,0.8831248749791555,0.4683962945440956,0.33787650565476646,0.3241506883927275,0.8189799647050486,0.041512892678219275,0.8831248749791555,0.0641449102741069,0.011217322068518328
20260626T114657Z-clean-run-eu-us-gac-v1__pilot-balanc--ef5bcb70f647--time-default__gac_etl_local_rollup__lookback_days-1,3,0.9987722931936394,0.010712137365637609,0.007727173727363371,0.07766904416616449,0.998176006706237,0.0005962864874024352,0.000216366042783844,0.0004150542761742886,0.9987722931936394
20260626T114713Z-clean-run-eu-us-gac-v1__pilot-balanc--9ee7f72814a6--tenant_point_rollup__tenant_id-100__lookback_days-3,3,0.9987722931936394,0.010712137365637609,0.007727173727363371,0.07766904416616449,0.998176006706237,0.0005962864874024352,0.000216366042783844,0.0004150542761742886,0.9987722931936394
20260626T114727Z-clean-run-eu-us-gac-v1__pilot-balanc--e8c5b4ab360e--_tenant_point_rollup__tenant_id-5__lookback_days-14,3,0.9987722931936394,0.010712137365637609,0.007727173727363371,0.07766904416616449,0.998176006706237,0.0005962864874024352,0.000216366042783844,0.0004150542761742886,0.9987722931936394
20260626T114743Z-clean-run-eu-us-gac-v1__pilot-balanc--8f38da54d9b8--vent_filter_summary__lookback_days-1__min_value-500,1,0.9827681375925414,0.10218217710121669,0.07370886008558156,0.15138810398862695,0.9723709195831597,0.0053726060101871925,0.9827681375925414,0.010397218009381707,0.0014620383878897363
20260626T114803Z-clean-run-eu-us-gac-v1__pilot-balanc--3f158ec7be56--ent_filter_summary__lookback_days-14__min_value-500,1,0.9809515468687314,0.11100412711477887,0.0800725518533498,0.15550674554316157,0.96943557272649,0.005922806434216365,0.9809515468687314,0.011515974142241432,0.0016096725548108602
20260626T114820Z-clean-run-eu-us-gac-v1__pilot-balanc--fb6c8a602c26--gion_user_segment_join__lookback_days-1__limit_k-10,1,0.9600306995943488,0.20440755946778771,0.14744888618219662,0.22291559123271978,0.9373315793446155,0.013369491993703329,0.9600306995943488,0.0226991202497333,0.0039006881622144665
20260626T114847Z-clean-run-eu-us-gac-v1__pilot-balanc--83c78e97c5d8--c_fdw_user_value_topk__lookback_days-30__limit_k-50,1,0.9754586560908166,0.13751542753451632,0.09919641267488616,0.1799932025965838,0.9612223270494775,0.007900276668391132,0.9754586560908166,0.014236329041339136,0.0024047381994534212
20260626T114906Z-clean-run-eu-us-gac-v1__pilot-balanc--00ca4dc79bfd--multi_dimension_rollup__lookback_days-1__limit_k-50,1,0.9511914159529911,0.23978596938717267,0.1729690144548134,0.23832462721432468,0.9235497811776985,0.016316570952191214,0.9511914159529911,0.027641634775292634,0.004850378319525157
20260626T114935Z-clean-run-eu-us-gac-v1__pilot-balanc--44d7b7cb8065--u_tenant_id-1__us_tenant_id-11000__lookback_days-14,0,0.8235373339906273,0.6038759811452673,0.4356044416551172,0.3006934422872134,0.696560949791516,0.8235373339906273,0.029984790973720078,0.12697638419911136,0.01950149083654125
20260626T114950Z-clean-run-eu-us-gac-v1__pilot-balanc--d3cd2224a349--tenant_id-1000__us_tenant_id-10005__lookback_days-7,0,0.8291664697456025,0.5906615012019057,0.42607220931400996,0.29637395677338874,0.7062055978770448,0.8291664697456025,0.02895498554954726,0.1229608718685576,0.018917672836292625
20260626T115006Z-clean-run-eu-us-gac-v1__pilot-balanc--c1b1eed690b9--multi_dimension_rollup__lookback_days-7__limit_k-25,3,0.987952856998031,0.07764155081103329,0.0560065401610031,0.17703512975254834,0.9822427332693414,0.005710123728689586,0.0022096063118591898,0.00412741296142017,0.987952856998031
