condition_id,feature,repetition_count,median,mad,range
cond-1661f99ef69859e5d461,active_task_share,3,0.19293142095945223,0.0,0.0
cond-1661f99ef69859e5d461,citus_repartition_observed_v2,3,0.0,0.0,0.0
cond-1661f99ef69859e5d461,worker_task_seq_scan_share,3,0.5,0.0,0.0
cond-1661f99ef69859e5d461,root_rows_estimate_error_log,3,0.046308220866967204,0.0,0.0
cond-1661f99ef69859e5d461,foreign_scan_rows_estimate_error_log,3,0.4294086413679508,3.1226873870027205e-05,0.00014005790179388855
cond-1661f99ef69859e5d461,aggregate_rows_estimate_error_log,3,0.046308220866967204,0.0,0.0
cond-1661f99ef69859e5d461,remote_root_rows_estimate_error_log,3,0.08899272939174618,0.0,0.0
cond-17b0613b129bd2b9c16c,foreign_scan_time_to_root_ratio,3,0.21567649191867513,1.5002469835323495e-05,0.00012009135064627863
cond-17b0613b129bd2b9c16c,remote_to_final_rows_ratio,3,0.5421652197243788,0.0,0.0
cond-17b0613b129bd2b9c16c,regional_input_to_wan_rows_ratio,3,0.22277801565215352,0.0,0.0
cond-17b0613b129bd2b9c16c,global_group_merge_ratio,3,0.9390577066593679,0.0,0.0
cond-17b0613b129bd2b9c16c,spill_present,3,0.5,0.0,0.0
cond-17b0613b129bd2b9c16c,spill_bytes_to_wan_bytes_ratio,3,0.40425720318829184,0.0,1.904365302429767e-05
cond-17b0613b129bd2b9c16c,temp_blocks_per_final_row,3,0.46065389783074023,0.0,3.434053018669392e-06
cond-17b0613b129bd2b9c16c,hash_batch_excess,3,0.0,0.0,0.0
cond-17b0613b129bd2b9c16c,remote_region_rows_isf_normalized,3,0.0,0.0,0.0
cond-17b0613b129bd2b9c16c,worker_task_scan_rows_isf_normalized,3,0.017691103303596935,0.0,0.0
cond-17b0613b129bd2b9c16c,worker_scan_rows_cv_normalized,3,0.05141194375331307,0.0,0.0
cond-17b0613b129bd2b9c16c,task_count_to_shard_count_ratio,3,0.3230326202012677,0.0,0.0
cond-17b0613b129bd2b9c16c,active_task_share,3,0.2649461597478896,0.0,0.0
cond-17b0613b129bd2b9c16c,citus_repartition_observed_v2,3,0.0,0.0,0.0
cond-17b0613b129bd2b9c16c,worker_task_seq_scan_share,3,0.5,0.0,0.0
cond-17b0613b129bd2b9c16c,root_rows_estimate_error_log,3,0.25,0.0,0.0
cond-17b0613b129bd2b9c16c,foreign_scan_rows_estimate_error_log,3,0.4692488924905583,0.0,0.0
cond-17b0613b129bd2b9c16c,aggregate_rows_estimate_error_log,3,0.25,0.0,0.0
cond-17b0613b129bd2b9c16c,remote_root_rows_estimate_error_log,3,0.3464651729614107,0.0,0.0
cond-1c1b79e78e1cf306ea1b,foreign_scan_time_to_root_ratio,3,0.220482233932195,7.25972022365684e-05,0.0002566694909830747
cond-1c1b79e78e1cf306ea1b,remote_to_final_rows_ratio,3,0.5332651455937393,0.0,0.0
cond-1c1b79e78e1cf306ea1b,regional_input_to_wan_rows_ratio,3,0.22277801565215352,0.0,0.0
cond-1c1b79e78e1cf306ea1b,global_group_merge_ratio,3,0.923642326073971,0.0,0.0
cond-1c1b79e78e1cf306ea1b,spill_present,3,0.5,0.0,0.0
cond-1c1b79e78e1cf306ea1b,spill_bytes_to_wan_bytes_ratio,3,0.2969077395280409,0.0,0.0
cond-1c1b79e78e1cf306ea1b,temp_blocks_per_final_row,3,0.41240153764298587,0.0,0.0
cond-1c1b79e78e1cf306ea1b,hash_batch_excess,3,0.0,0.0,0.0
cond-1c1b79e78e1cf306ea1b,remote_region_rows_isf_normalized,3,0.46233206845736985,0.0,0.0
cond-1c1b79e78e1cf306ea1b,worker_task_scan_rows_isf_normalized,3,0.010345750407601663,0.0,0.0
cond-1c1b79e78e1cf306ea1b,worker_scan_rows_cv_normalized,3,0.2672213435250896,0.0,0.0
cond-1c1b79e78e1cf306ea1b,task_count_to_shard_count_ratio,3,0.2649461597478896,0.0,0.0
cond-1c1b79e78e1cf306ea1b,active_task_share,3,0.19293142095945223,0.0,0.0
cond-1c1b79e78e1cf306ea1b,citus_repartition_observed_v2,3,0.0,0.0,0.0
cond-1c1b79e78e1cf306ea1b,worker_task_seq_scan_share,3,0.5,0.0,0.0
cond-1c1b79e78e1cf306ea1b,root_rows_estimate_error_log,3,0.25,0.0,0.0
cond-1c1b79e78e1cf306ea1b,foreign_scan_rows_estimate_error_log,3,0.4706561843655192,1.3136249771283914e-07,3.941006599395003e-07
cond-1c1b79e78e1cf306ea1b,aggregate_rows_estimate_error_log,3,0.4656351137290029,0.0,0.0
cond-1c1b79e78e1cf306ea1b,remote_root_rows_estimate_error_log,3,0.08844556541307774,0.0,0.0
cond-1ef8768e78a1de56adf1,foreign_scan_time_to_root_ratio,5,0.20966568550691395,0.000744100367956857,0.0034456525574403374
cond-1ef8768e78a1de56adf1,remote_to_final_rows_ratio,5,0.5338227017332962,0.0,0.0
cond-1ef8768e78a1de56adf1,regional_input_to_wan_rows_ratio,5,0.22277801565215352,0.0,0.0
cond-1ef8768e78a1de56adf1,global_group_merge_ratio,5,0.9246080416357554,0.0,0.0
cond-1ef8768e78a1de56adf1,spill_present,5,0.5,0.0,0.0
cond-1ef8768e78a1de56adf1,spill_bytes_to_wan_bytes_ratio,5,0.3761854860331728,0.0,0.0
cond-1ef8768e78a1de56adf1,temp_blocks_per_final_row,5,0.4362455293434658,0.0,0.0
cond-1ef8768e78a1de56adf1,hash_batch_excess,5,0.0,0.0,0.0
cond-1ef8768e78a1de56adf1,remote_region_rows_isf_normalized,5,0.0,0.0,0.0
cond-1ef8768e78a1de56adf1,worker_task_scan_rows_isf_normalized,5,0.005062586315655295,0.0,0.0
cond-1ef8768e78a1de56adf1,worker_scan_rows_cv_normalized,5,0.014361946994766775,0.0,0.0
cond-1ef8768e78a1de56adf1,task_count_to_shard_count_ratio,5,0.19624080872494817,0.0,0.0
cond-1ef8768e78a1de56adf1,active_task_share,5,0.19624080872494817,0.0,0.0
cond-1ef8768e78a1de56adf1,citus_repartition_observed_v2,5,0.0,0.0,0.0
cond-1ef8768e78a1de56adf1,worker_task_seq_scan_share,5,0.5,0.0,0.0
cond-1ef8768e78a1de56adf1,root_rows_estimate_error_log,5,0.23363563184462444,0.0,0.0
cond-1ef8768e78a1de56adf1,foreign_scan_rows_estimate_error_log,5,0.4689450397328768,5.99659653599538e-07,5.598502271664252e-06
cond-1ef8768e78a1de56adf1,aggregate_rows_estimate_error_log,5,0.06018856474743317,0.0,0.0
cond-1ef8768e78a1de56adf1,remote_root_rows_estimate_error_log,5,0.477122181908488,0.0,0.0
cond-213094df63d00ed2a194,foreign_scan_time_to_root_ratio,3,0.22277062635256678,7.225585331727125e-07,4.458536481510844e-06
cond-213094df63d00ed2a194,remote_to_final_rows_ratio,3,0.22277801565215352,0.0,0.0
cond-213094df63d00ed2a194,regional_input_to_wan_rows_ratio,3,0.524540424067187,0.0,0.0
