query_run_id,k,nearest_center,feature,squared_distance_contribution,distance_contribution_share,query_id
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,foreign_scan_time_to_root_ratio,0.04632125038346388,0.08200603423820127,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,remote_to_final_rows_ratio,0.043533266577725376,0.07707025436317093,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,regional_input_to_wan_rows_ratio,0.04341994285030894,0.07686962874547754,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,global_group_merge_ratio,0.12910241209840934,0.22855982382021403,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,spill_present,0.0002990407218485896,0.0005294145445453331,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,spill_bytes_to_wan_bytes_ratio,4.315653681867952e-06,7.640330100454803e-06,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,temp_blocks_per_final_row,0.00024276732619825088,0.00042978947026087595,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,hash_batch_excess,1.1929193726330227e-09,2.1119159371932703e-09,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,remote_region_rows_isf_normalized,2.3017122496430104e-05,4.074896337817663e-05,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,worker_task_scan_rows_isf_normalized,2.89833492849463e-05,5.131142864501655e-05,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,worker_scan_rows_cv_normalized,4.9301557642780166e-05,8.728229895740886e-05,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,task_count_to_shard_count_ratio,0.06253338757270452,0.11070761432097677,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,active_task_share,0.03182678715087714,0.056345383062425036,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,citus_repartition_observed_v2,0.20439784851938925,0.3618610643092547,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,worker_task_seq_scan_share,0.0001870740191104228,0.0003311913708988277,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,root_rows_estimate_error_log,0.0016577478626487242,0.0029348371828755095,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,foreign_scan_rows_estimate_error_log,1.0647730819598336e-05,1.8850488078854755e-05,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,aggregate_rows_estimate_error_log,0.001210040499338374,0.002142226770583399,4
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,remote_root_rows_estimate_error_log,3.898708342464279e-06,6.902180039833766e-06,4
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,foreign_scan_time_to_root_ratio,0.04632118033994243,0.08200592040383645,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,remote_to_final_rows_ratio,0.043533266577725376,0.07707026392014382,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,regional_input_to_wan_rows_ratio,0.04341994285030894,0.07686963827757218,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,global_group_merge_ratio,0.12910241209840934,0.22855985216240726,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,spill_present,0.0002990407218485896,0.0005294146101945319,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,spill_bytes_to_wan_bytes_ratio,4.315653681867952e-06,7.640331047881644e-06,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,temp_blocks_per_final_row,0.00024276732619825088,0.00042978952355622775,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,hash_batch_excess,1.1929193726330227e-09,2.1119161990780083e-09,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,remote_region_rows_isf_normalized,2.3017122496430104e-05,4.0748968431186274e-05,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,worker_task_scan_rows_isf_normalized,2.89833492849463e-05,5.131143500780771e-05,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,worker_scan_rows_cv_normalized,4.9301557642780166e-05,8.728230978070991e-05,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,task_count_to_shard_count_ratio,0.06253338757270452,0.11070762804909637,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,active_task_share,0.03182678715087714,0.05634539004944361,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,citus_repartition_observed_v2,0.20439784851938925,0.3618611091812538,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,worker_task_seq_scan_share,0.0001870740191104228,0.0003311914119676808,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,root_rows_estimate_error_log,0.0016577478626487242,0.0029348375468052725,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,foreign_scan_rows_estimate_error_log,1.0647730819598336e-05,1.88504904163792e-05,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,aggregate_rows_estimate_error_log,0.001210040499338374,0.002142227036226783,5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,remote_root_rows_estimate_error_log,3.898708342464279e-06,6.902180895727497e-06,5
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,foreign_scan_time_to_root_ratio,0.013010297467405198,0.027972336420138813,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,remote_to_final_rows_ratio,0.05249563138225475,0.11286640180909656,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,regional_input_to_wan_rows_ratio,0.08545406034632136,0.18372752279205815,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,global_group_merge_ratio,0.2515100104636963,0.5407503282187663,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,spill_present,1.8127496114313684e-05,3.897439094184464e-05,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,spill_bytes_to_wan_bytes_ratio,6.163152948716254e-06,1.3250872097442132e-05,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,temp_blocks_per_final_row,1.3373786907639394e-05,2.8753844216780044e-05,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,hash_batch_excess,1.5462243271747394e-08,3.324405700107391e-08,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,remote_region_rows_isf_normalized,0.0003615667209385357,0.0007773739210619524,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,worker_task_scan_rows_isf_normalized,0.00042843610750280595,0.0009211441140087501,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,worker_scan_rows_cv_normalized,0.0006819410319250237,0.001466183537424363,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,task_count_to_shard_count_ratio,0.021046583926064174,0.04525047390726332,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,active_task_share,0.006666673824242781,0.014333449598846483,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,citus_repartition_observed_v2,1.4814132543761291e-06,3.1850609129021213e-06,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,worker_task_seq_scan_share,0.022420416223493986,0.048204234134870426,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,root_rows_estimate_error_log,0.00028490139645794503,0.0006125423133679055,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,foreign_scan_rows_estimate_error_log,0.006795116882653782,0.014609604117965299,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,aggregate_rows_estimate_error_log,0.0002506292687248038,0.0005388567201532105,6
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,remote_root_rows_estimate_error_log,0.003667579296187955,0.007885350982752459,6
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,3,0,foreign_scan_time_to_root_ratio,0.046321278232915736,0.08200607949897697,7
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,3,0,remote_to_final_rows_ratio,0.043533266577725376,0.07707025056329901,7
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,3,0,regional_input_to_wan_rows_ratio,0.04341994285030894,0.07686962495549726,7
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,3,0,global_group_merge_ratio,0.12910241209840934,0.22855981255130017,7
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,3,0,spill_present,0.0002990407218485896,0.0005294145184430776,7
