evaluation,distance_metric,neighbors,coverage_quantile,coverage_threshold,episode_count,recommendation_count,abstention_count,coverage,correct_count,top1_accuracy,mean_regret_log2
E4,cosine,5,1.0,0.282783078260204,15,15,0,1.0,10,0.6666666666666666,0.25977456746471067
E4,euclidean,1,0.9,1.365205642254646,15,9,6,0.6,7,0.7777777777777778,0.27599420683329146
E4,euclidean,1,0.95,1.6243914528713777,15,14,1,0.9333333333333333,12,0.8571428571428571,0.17742484724997307
E4,euclidean,1,0.99,1.9533554892194176,15,15,0,1.0,13,0.8666666666666667,0.16559652409997486
E4,euclidean,1,1.0,2.056915703364297,15,15,0,1.0,13,0.8666666666666667,0.16559652409997486
E4,euclidean,3,0.9,1.365205642254646,15,9,6,0.6,8,0.8888888888888888,0.007804860751003407
E4,euclidean,3,0.95,1.6243914528713777,15,14,1,0.9333333333333333,12,0.8571428571428571,0.05281651531434325
E4,euclidean,3,0.99,1.9533554892194176,15,15,0,1.0,13,0.8666666666666667,0.04929541429338703
E4,euclidean,3,1.0,2.056915703364297,15,15,0,1.0,13,0.8666666666666667,0.04929541429338703
E4,euclidean,5,0.9,1.365205642254646,15,9,6,0.6,8,0.8888888888888888,0.007804860751003407
E4,euclidean,5,0.95,1.6243914528713777,15,14,1,0.9333333333333333,11,0.7857142857142857,0.24716974606270076
E4,euclidean,5,0.99,1.9533554892194176,15,15,0,1.0,12,0.8,0.23069176299185404
E4,euclidean,5,1.0,2.056915703364297,15,15,0,1.0,12,0.8,0.23069176299185404
E4,manhattan,1,0.9,2.3782235646811527,15,4,11,0.26666666666666666,4,1.0,0.0
E4,manhattan,1,0.95,2.9499134000907956,15,11,4,0.7333333333333333,8,0.7272727272727273,0.2866486662855816
E4,manhattan,1,0.99,4.2051531858588325,15,15,0,1.0,12,0.8,0.21020902194275984
E4,manhattan,1,1.0,4.580166691095399,15,15,0,1.0,12,0.8,0.21020902194275984
E4,manhattan,3,0.9,2.3782235646811527,15,4,11,0.26666666666666666,4,1.0,0.0
E4,manhattan,3,0.95,2.9499134000907956,15,11,4,0.7333333333333333,9,0.8181818181818182,0.06722101949098232
E4,manhattan,3,0.99,4.2051531858588325,15,15,0,1.0,13,0.8666666666666667,0.04929541429338703
E4,manhattan,3,1.0,4.580166691095399,15,15,0,1.0,13,0.8666666666666667,0.04929541429338703
E4,manhattan,5,0.9,2.3782235646811527,15,4,11,0.26666666666666666,4,1.0,0.0
E4,manhattan,5,0.95,2.9499134000907956,15,11,4,0.7333333333333333,9,0.8181818181818182,0.06722101949098232
E4,manhattan,5,0.99,4.2051531858588325,15,15,0,1.0,12,0.8,0.23069176299185404
E4,manhattan,5,1.0,4.580166691095399,15,15,0,1.0,12,0.8,0.23069176299185404
