holdout,fold,held_out_group,feature_view,model,train_pair_count,test_pair_count,mae,rmse,r2,spearman,kendall,ndcg_at_5,top3_recall,top5_recall
leave_stressed_template_out,4,gac_fdw_single_edge_repartition_user_value_topk_pair,extended,shallow_gradient_boosting,57,18,0.21942797997999838,0.2854960169789851,0.9647195381628799,0.8883162743166143,0.7881486060414439,0.9727832267896162,1.0,0.8
leave_dataset_out,1,pilot-balanced-v1,core,median_baseline,62,13,1.1184226710556713,1.4910766088939484,-0.07319169655541402,,,0.5067046526621433,0.3333333333333333,0.4
leave_dataset_out,1,pilot-balanced-v1,core,ridge,62,13,0.3014057800980424,0.37978507460668537,0.9303769290260593,0.8846153846153846,0.6923076923076922,0.9920687667823989,0.3333333333333333,1.0
leave_dataset_out,1,pilot-balanced-v1,core,elastic_net,62,13,0.32287367774832876,0.3982183879971444,0.9234544392055838,0.8956043956043955,0.6923076923076922,0.9941031407796903,0.6666666666666666,1.0
leave_dataset_out,1,pilot-balanced-v1,core,shallow_gradient_boosting,62,13,0.25168655304443066,0.45954911171657764,0.898060792928158,0.8882834669064676,0.7452413135250991,0.828880198617851,0.3333333333333333,1.0
leave_dataset_out,1,pilot-balanced-v1,extended,median_baseline,62,13,1.1184226710556713,1.4910766088939484,-0.07319169655541402,,,0.5067046526621433,0.3333333333333333,0.4
leave_dataset_out,1,pilot-balanced-v1,extended,ridge,62,13,0.14851133943637146,0.18891184691957064,0.9827735504284629,0.9285714285714285,0.7948717948717947,0.9937865059757234,0.6666666666666666,1.0
leave_dataset_out,1,pilot-balanced-v1,extended,elastic_net,62,13,0.1749866830198954,0.22076504008617437,0.9764745472533438,0.8901098901098902,0.6923076923076922,0.9937865059757234,0.6666666666666666,1.0
leave_dataset_out,1,pilot-balanced-v1,extended,shallow_gradient_boosting,62,13,0.2549723073764939,0.5234240911187995,0.86775331198018,0.7747252747252747,0.6153846153846153,0.7812305275077488,0.3333333333333333,0.8
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,core,median_baseline,63,12,1.052866455422035,1.4464240164633642,-0.1749181937895039,,,0.5999906555079919,0.0,0.2
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,core,ridge,63,12,0.2738184033285348,0.3496629854308106,0.9313381180124123,0.9300699300699302,0.8181818181818181,0.9947915827082602,1.0,0.8
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,core,elastic_net,63,12,0.2948324055201868,0.3682873825856038,0.9238289291536409,0.9440559440559443,0.8484848484848484,0.997405493830924,1.0,0.8
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,core,shallow_gradient_boosting,63,12,0.0441059778577233,0.07043454260890543,0.9972139572383085,0.9753762990575382,0.9066928292470475,0.9980359410935858,1.0,1.0
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,extended,median_baseline,63,12,1.052866455422035,1.4464240164633642,-0.1749181937895039,,,0.5999906555079919,0.0,0.2
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,extended,ridge,63,12,0.1538962253778343,0.1735850145076359,0.9830784227601028,0.965034965034965,0.8787878787878787,0.9980058152543085,1.0,0.8
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,extended,elastic_net,63,12,0.1979866707286435,0.21745385289456068,0.9734447377626839,0.9720279720279721,0.8787878787878787,0.9991820328761307,1.0,0.8
leave_dataset_out,2,pilot-balanced-wide-global-dim-v1,extended,shallow_gradient_boosting,63,12,0.20523039217433628,0.236348926109574,0.9686293406205115,0.920670718462285,0.781631749350903,0.9906258124299627,1.0,0.8
leave_dataset_out,3,raw-large-balanced-v1,core,median_baseline,62,13,1.823375742347192,2.3184663720686305,-0.03072571387132883,,,0.37800872255957313,0.6666666666666666,0.4
leave_dataset_out,3,raw-large-balanced-v1,core,ridge,62,13,0.48538060350542395,0.7680016385193326,0.886899167496661,0.9285714285714285,0.769230769230769,0.9963612680004338,0.3333333333333333,1.0
leave_dataset_out,3,raw-large-balanced-v1,core,elastic_net,62,13,0.5265024042932122,0.8309934611447569,0.8675851413140327,0.9120879120879121,0.7435897435897434,0.9956064200183602,0.6666666666666666,1.0
leave_dataset_out,3,raw-large-balanced-v1,core,shallow_gradient_boosting,62,13,0.4774971996835119,0.9168779405488685,0.8388001785134478,0.9041042122229915,0.7659464011866566,0.6887129750047964,0.3333333333333333,1.0
leave_dataset_out,3,raw-large-balanced-v1,extended,median_baseline,62,13,1.823375742347192,2.3184663720686305,-0.03072571387132883,,,0.37800872255957313,0.6666666666666666,0.4
leave_dataset_out,3,raw-large-balanced-v1,extended,ridge,62,13,0.3475632284579933,0.5329343123370172,0.945538590899663,0.945054945054945,0.8205128205128204,0.9959773853860843,0.6666666666666666,1.0
leave_dataset_out,3,raw-large-balanced-v1,extended,elastic_net,62,13,0.41597272146867026,0.6457040293899451,0.9200518347329183,0.9340659340659341,0.7948717948717947,0.9959773853860843,0.6666666666666666,1.0
leave_dataset_out,3,raw-large-balanced-v1,extended,shallow_gradient_boosting,62,13,0.4661735642623264,0.9332675802792431,0.8329856192099846,0.8879880396595828,0.7370973770897189,0.6859299714662116,0.3333333333333333,1.0
leave_dataset_out,4,raw-large-balanced-wide-global-dim-v1,core,median_baseline,63,12,1.706387171006283,2.1882106498386387,-0.10034841436296826,,,0.5333436992042686,0.3333333333333333,0.6
leave_dataset_out,4,raw-large-balanced-wide-global-dim-v1,core,ridge,63,12,0.3757884953718438,0.6359915794418456,0.9070488647373206,0.9090909090909092,0.7575757575757575,0.9930516363709243,0.6666666666666666,0.8
leave_dataset_out,4,raw-large-balanced-wide-global-dim-v1,core,elastic_net,63,12,0.3755341565835865,0.6473367557853641,0.9037030568448438,0.8741258741258742,0.6666666666666666,0.9836174421313014,0.6666666666666666,0.8
