query_run_id,distance_c0,membership_c0,distance_c1,membership_c1,distance_c2,membership_c2,distance_c3,membership_c3,dominant_cluster,max_membership
20260725T114659Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.5830358133434586,0.071921492337312,1.0729574435560687,0.8851067135843451,6.02360880359581,0.006400472385530104,3.272892490100766,0.03657132169281263,1,0.8851067135843451
20260725T114716Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.5830557072450198,0.07192676644283115,1.0729949849365361,0.8851026135204203,6.023612026177973,0.006401072810705337,3.273057282564299,0.036569547226043185,1,0.8851026135204203
20260725T114732Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.001122421946217,0.1444992776828071,4.854940523944948,0.2647656240216886,4.728554649406466,0.28549046046041604,4.619113755647365,0.3052446378350884,3,0.3052446378350884
20260725T114746Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.042364241293124,0.1486266590444664,4.995600172350661,0.25594795106339324,4.793435125460952,0.28801236743788755,4.685306005118848,0.3074130224542527,3,0.3074130224542527
20260725T114800Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,6.001142933240996,0.14450674687452045,4.854962866793013,0.2647784139629428,4.728574575528109,0.2855045681203045,4.6193951463520175,0.30521027104223225,3,0.30521027104223225
20260725T114938Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,5.676538575208799,0.29158359270992396,5.320767496812753,0.3508127763683953,7.732487487234417,0.12056817977665116,6.103318245474945,0.23703545114502966,1,0.3508127763683953
20260725T114955Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,5.819600717741733,0.27022895944284436,5.290600461407442,0.35480028129867214,7.588337095188808,0.12660078097522315,5.993971382425592,0.2483699782832604,1,0.35480028129867214
20260725T115013Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.195805377339749,0.006030938016716885,5.7608085609692745,0.011386056572347108,1.2165463777004846,0.9681851207864137,5.306517125911317,0.014397884624522362,2,0.9681851207864137
20260725T115027Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.160519231873277,0.0028399377975235687,5.638508489376427,0.00562113356352809,0.9246174619842243,0.9845972352329668,5.237085996747714,0.006941693405981474,2,0.9845972352329668
20260725T115041Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,5.676406080496027,0.29152424922336445,5.320649070524838,0.3507402927719737,7.732415590074229,0.12053880514593095,6.101289071785452,0.23719665285873087,1,0.3507402927719737
20260725T115058Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,5.819657608113217,0.2702469205559148,5.290652154144085,0.3548238685949824,7.5883620487561805,0.12661154236144165,5.994611333727575,0.2483176684876611,1,0.3548238685949824
20260725T115115Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,5.676511877531422,0.29157199598804723,5.3207394090216615,0.35079940106637764,7.7324619119183895,0.12056290384225953,6.10293201572794,0.2370656991033156,1,0.35079940106637764
20260725T115132Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.160507496810181,0.0028393438552851403,5.638495315570118,0.005619969164803168,0.9245474021252119,0.984599849683634,5.2369201014137134,0.006940837296277768,2,0.984599849683634
20260725T115146Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,5.819619499259221,0.2702348068326237,5.29061240019646,0.3548089427130971,7.588331379205491,0.1266049603117068,5.99419398360391,0.24835129014257243,1,0.3548089427130971
20260725T115203Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.195845011614707,0.006033341115833655,5.7608522564878175,0.01139052588808164,1.2167264495922885,0.9681766391672021,5.307078721411629,0.014399493828882575,2,0.9681766391672021
20260725T115217Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.1958011035760645,0.006030679288486357,5.760803852375944,0.011385575376720686,1.2165269880053542,0.9681860312529991,5.3064562948169565,0.014397714081794003,2,0.9681860312529991
20260725T115231Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,7.160508431074854,0.0028393911229744077,5.6384963642158485,0.005620061831408147,0.9245529780454623,0.9845996416828862,5.236933323084744,0.0069409053627312225,2,0.9845996416828862
