query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2
20260626T114121Z-clean-run-eu-us-gac-v1__pilot-balanc--18e4a849bf0b--t__gac_fdw_top_tenants__lookback_days-7__limit_k-50,3,1,0.9948261023383984,0.1274849849684139,0.9906636757507541,0.0010114710739573829,1.4221219302943717,0.9948261023383984,0.1274849849684139,0.0041624265876442825,0.8667607601444122
20260626T114141Z-clean-run-eu-us-gac-v1__pilot-balanc--c5f0b3a0235d--multi_dimension_rollup__lookback_days-3__limit_k-50,3,1,0.9656500760761202,0.2704385222245891,0.9386662077862736,0.0073660556340332545,1.4901268105388916,0.9656500760761202,0.2704385222245891,0.026983868289846523,0.9459517911273911
20260626T114208Z-clean-run-eu-us-gac-v1__pilot-balanc--87ab183b9917--ollup__lookback_days-30__min_value-900__limit_k-100,3,2,0.6672922148809248,0.5711236617278582,0.40783976812197476,0.07325533836012511,1.2375051820365972,0.2594524467589501,0.7949147471225737,0.6672922148809248,0.5711236617278582
20260626T114226Z-clean-run-eu-us-gac-v1__pilot-balanc--d3c81087e30d--ulti_dimension_rollup__lookback_days-30__limit_k-10,3,1,0.9331580061418171,0.36771620885007705,0.881950859017991,0.01563484673435677,1.5383824587845494,0.9331580061418171,0.36771620885007705,0.051207147123826166,1.0156203303644094
20260626T114249Z-clean-run-eu-us-gac-v1__pilot-balanc--e5ccb3819851--__limit_k-100__payload_repeat-64__payload_width-512,3,1,0.560214183966922,0.8190292590400889,0.322178279522649,0.20174991158880487,1.170950882858121,0.560214183966922,0.8190292590400889,0.23803590444427306,1.1050921341241722
20260626T114304Z-clean-run-eu-us-gac-v1__pilot-balanc--068c334e695d--ollup__lookback_days-14__min_value-900__limit_k-100,3,2,0.66974757504567,0.5681294392381058,0.4121116057784652,0.07261645568712521,1.2363855758877418,0.2576359692672048,0.7937137847007288,0.66974757504567,0.5681294392381058
20260626T114320Z-clean-run-eu-us-gac-v1__pilot-balanc--3defc2041615--gion_user_segment_join__lookback_days-7__limit_k-25,3,1,0.9732557431091571,0.24924718356746994,0.9521032386685856,0.005591752450271534,1.5165890745940627,0.9732557431091571,0.24924718356746994,0.02115250444057145,0.9519915042447826
20260626T114349Z-clean-run-eu-us-gac-v1__pilot-balanc--bfb7f603474b--ac_fdw_daily_rollup__lookback_days-1__min_value-100,3,1,0.9226691954240923,0.3547592026444293,0.860736890721581,0.015398499873396422,1.4862173699316252,0.9226691954240923,0.3547592026444293,0.06193230470251134,0.9131218664943633
20260626T114408Z-clean-run-eu-us-gac-v1__pilot-balanc--aa7d9a00723a--fdw_user_segment_join__lookback_days-30__limit_k-50,3,1,0.9923843172988809,0.15665345532365485,0.9863522172156656,0.0015835826179039412,1.4924633903917766,0.9923843172988809,0.15665345532365485,0.006032100083215313,0.9345745546367084
20260626T114429Z-clean-run-eu-us-gac-v1__pilot-balanc--f77810cb1b3a--tenant_point_rollup__tenant_id-100__lookback_days-1,3,2,0.9505519779041424,0.28269576239296235,0.9217706600725503,0.020666704264265492,1.0796075777865932,0.02878131783159212,0.9614398447076824,0.9505519779041424,0.28269576239296235
20260626T114444Z-clean-run-eu-us-gac-v1__pilot-balanc--ac2093b36f03--_fdw_global_user_join__lookback_days-1__limit_k-100,3,1,0.9955548132716224,0.12825580192457642,0.99202115693579,0.0009115303925451262,1.4841572859689327,0.9955548132716224,0.12825580192457642,0.0035336563358324196,0.9236795395728568
