query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2,membership_c3,distance_c3
20260626T115801Z-clean-run-eu-us-gac-v1__pilot-balanc--b93f4ef9a3a7--_fdw_global_user_join__lookback_days-14__limit_k-10,4,1,0.9903448847063109,0.131300658117337,0.9848000141872593,0.00318454977895489,0.9788707473065773,0.9903448847063109,0.131300658117337,0.005544870519051634,0.8061765692437293,0.0009256949956826841,1.5084412295779503
20260626T115822Z-clean-run-eu-us-gac-v1__pilot-balanc--3c79e3e49f61--__gac_etl_top_tenants__lookback_days-14__limit_k-50,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T115838Z-clean-run-eu-us-gac-v1__pilot-balanc--8ee2c6a2d03e--_tenant_point_rollup__tenant_id-10__lookback_days-7,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T115858Z-clean-run-eu-us-gac-v1__pilot-balanc--20b59ff64b7c--tenant_id-100__us_tenant_id-10010__lookback_days-30,4,0,0.8180508076451127,0.3049082517220393,0.6871762294069433,0.8180508076451127,0.3049082517220393,0.030997931578891476,0.9586847624895467,0.13087457823816942,0.5790858082571689,0.020076682537826237,1.116092248594277
20260626T115917Z-clean-run-eu-us-gac-v1__pilot-balanc--245b34a651a0--ac_fdw_user_value_topk__lookback_days-3__limit_k-25,4,1,0.9765782894059709,0.16945927503789443,0.9626400026959431,0.007385187834157852,0.9365614461892057,0.9765782894059709,0.16945927503789443,0.013938286710027878,0.7498761295408221,0.002098236049843327,1.454835186743405
20260626T115937Z-clean-run-eu-us-gac-v1__pilot-balanc--54e852a2cdd5--ent_filter_summary__lookback_days-30__min_value-900,4,2,0.9492050177945036,0.18493574686646178,0.9169177858250629,0.0322872319694407,0.6038597592909845,0.014682299100748107,0.7956442910523321,0.9492050177945036,0.18493574686646178,0.003825451135307717,1.2739663117142934
20260626T115953Z-clean-run-eu-us-gac-v1__pilot-balanc--11a399d5e4f4--ollup__lookback_days-14__min_value-100__limit_k-100,4,1,0.9774886015430663,0.16705660125115823,0.9639551981788435,0.006975256393324141,0.9422294528191425,0.9774886015430663,0.16705660125115823,0.013533403364222828,0.7471542616612976,0.00200273869938674,1.458257556821174
20260626T120020Z-clean-run-eu-us-gac-v1__pilot-balanc--47276565dfaf--event_filter_summary__lookback_days-14__min_value-0,4,1,0.9931845572581901,0.10953739522222854,0.98916184639174,0.0022027908785073164,0.9299985048537815,0.9931845572581901,0.10953739522222854,0.004022710866450132,0.7532537598574557,0.0005899409968524808,1.4748229681025782
20260626T120040Z-clean-run-eu-us-gac-v1__pilot-balanc--11c30c495f4d--__gac_etl_tenant_tier_daily_rollup__lookback_days-7,4,3,0.998882422851646,0.07558342472210187,0.9983448817538265,0.0005375410978194233,1.0534465619334437,0.00019990829205174403,1.4892438418236802,0.0003801277584827768,1.1892721294318815,0.998882422851646,0.07558342472210187
20260626T120055Z-clean-run-eu-us-gac-v1__pilot-balanc--629b6d23c500--vent_filter_summary__lookback_days-1__min_value-500,4,1,0.980177305163329,0.15722427064505534,0.9682302377639671,0.006201778160033745,0.9249016072310121,0.980177305163329,0.15722427064505534,0.011947067399361898,0.7352495271353163,0.0016738492772753971,1.4627681364029714
20260626T120112Z-clean-run-eu-us-gac-v1__pilot-balanc--c74fc35c0bb2--__gac_etl_top_tenants__lookback_days-7__limit_k-100,4,3,0.9987722931936394,0.07766904416616459,0.998176006706237,0.000596286487402437,1.043883401304603,0.00021636604278384456,1.4884869963753848,0.00041505427617429,1.1850168297086714,0.9987722931936394,0.07766904416616459
20260626T120128Z-clean-run-eu-us-gac-v1__pilot-balanc--d55f2644b828--ulti_dimension_rollup__lookback_days-30__limit_k-25,4,1,0.8573547399994796,0.4026011849939733,0.7814921581761873,0.049510296271308686,1.092289625221758,0.8573547399994796,0.4026011849939733,0.07586258182329227,0.9407442572272144,0.01727238190591929,1.5790939195968214
20260626T120156Z-clean-run-eu-us-gac-v1__pilot-balanc--b58c0f00ffd6--tiregion_top_tenants__lookback_days-14__limit_k-100,4,1,0.9870610792644694,0.13633781486495575,0.9792872978459924,0.004029029104194002,0.9350107351800232,0.9870610792644694,0.13633781486495575,0.00777378141847693,0.7428744556207801,0.0011361102128597006,1.4562621989864608
20260626T120220Z-clean-run-eu-us-gac-v1__pilot-balanc--e6ba65814cc6--region_user_value_topk__lookback_days-1__limit_k-25,4,1,0.9799692275883836,0.16211087431388543,0.9680787622038944,0.006337411373587442,0.9463838858255257,0.9799692275883836,0.16211087431388543,0.011890465384489169,0.7593061247290928,0.001802895653539891,1.4694228684376163
