query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T115707Z-clean-run-eu-us-gac-v1__pilot-balanc--07b221e1ad61--eu_tenant_id-1__us_tenant_id-11000__lookback_days-7,0.9969223641538156,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,2.3513752571634776,0.0,5.303304908059076
20260626T115723Z-clean-run-eu-us-gac-v1__pilot-balanc--d44a2f294d79--egion_user_value_topk__lookback_days-30__limit_k-10,0.9245502865433612,40000.0,1.0,40000.0,1,8.26112,1290.8,0.0,0.0,0.008,0.0122474487139158,2.0,1.0,0,1.0,0.0,5.827349917913772,6.748135274938521,0.693142180597445
20260626T115746Z-clean-run-eu-us-gac-v1__pilot-balanc--b99f0d332316--enant_point_rollup__tenant_id-1000__lookback_days-3,0.9989094398883268,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0,0.0,0.0,1.252762968495368,0.0,5.303304908059076
20260626T115801Z-clean-run-eu-us-gac-v1__pilot-balanc--b93f4ef9a3a7--_fdw_global_user_join__lookback_days-14__limit_k-10,0.9086283068200725,33333.333333333336,1.0,33333.333333333336,1,24.517400149908983,3180.1111111111118,0.0,0.0,0.0105396825396825,0.0066666666666666,2.0,2.0,0,1.0,0.0,5.111018268193043,0.0,0.693142180597445
20260626T115822Z-clean-run-eu-us-gac-v1__pilot-balanc--3c79e3e49f61--__gac_etl_top_tenants__lookback_days-14__limit_k-50,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T115838Z-clean-run-eu-us-gac-v1__pilot-balanc--8ee2c6a2d03e--_tenant_point_rollup__tenant_id-10__lookback_days-7,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T115858Z-clean-run-eu-us-gac-v1__pilot-balanc--20b59ff64b7c--tenant_id-100__us_tenant_id-10010__lookback_days-30,0.9961349317328392,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,3.881563797943437,0.0,5.303304908059076
20260626T115917Z-clean-run-eu-us-gac-v1__pilot-balanc--245b34a651a0--ac_fdw_user_value_topk__lookback_days-3__limit_k-25,0.9833892985052604,8000.0,1.0,8000.0,1,2.87744,89.92,0.0,0.0,0.008,0.03,1.0,1.0,0,1.0,0.0,3.65580782929341,4.5016114202582695,0.693142180597445
20260626T115937Z-clean-run-eu-us-gac-v1__pilot-balanc--54e852a2cdd5--ent_filter_summary__lookback_days-30__min_value-900,0.9886325109534736,20229.0,1.0,20229.0,0,0.0,0.0,0.0,0.0,0.0082586641024782,0.0287211429136388,1.0,1.0,0,1.0,0.0,4.226705679698433,0.0,-1.5980135347584377
20260626T115953Z-clean-run-eu-us-gac-v1__pilot-balanc--11a399d5e4f4--ollup__lookback_days-14__min_value-100__limit_k-100,0.9817554898815504,3603.56,1.0,3603.56,1,3.167416528534217,33.44,0.0,0.0009990120880463,0.0078016324949912,0.0120558718363553,2.0,1.0,0,1.0,0.0,6.052877278364646,4.754667197134003,0.5897691231327988
20260626T120020Z-clean-run-eu-us-gac-v1__pilot-balanc--47276565dfaf--event_filter_summary__lookback_days-14__min_value-0,0.9932673257736332,200000.0,1.0,200000.0,1,3.75296,1466.0,0.0,0.0,0.008,0.03,1.0,1.0,0,1.0,0.0,5.752026680850835,0.0,0.693142180597445
20260626T120040Z-clean-run-eu-us-gac-v1__pilot-balanc--11c30c495f4d--__gac_etl_tenant_tier_daily_rollup__lookback_days-7,0.0,,,,0,,0.0,0.0,,,,,,0,,0.5596157879354227,,0.5596157879354227,
20260626T120055Z-clean-run-eu-us-gac-v1__pilot-balanc--629b6d23c500--vent_filter_summary__lookback_days-1__min_value-500,0.998331637640251,100322.0,1.0,100322.0,1,3.755102040816327,736.0,0.0,0.0,0.0081794685628405,0.0292458284324475,1.0,1.0,0,1.0,0.0,2.377920381861834,0.0,0.003214794805614
20260626T120112Z-clean-run-eu-us-gac-v1__pilot-balanc--c74fc35c0bb2--__gac_etl_top_tenants__lookback_days-7__limit_k-100,0.0,,,,0,,0.0,0.0,,,,,,0,,0.0,,0.0,
20260626T120128Z-clean-run-eu-us-gac-v1__pilot-balanc--d55f2644b828--ulti_dimension_rollup__lookback_days-30__limit_k-25,0.8875028375892925,24080.0,1.0,24080.0,1,56.17710280373832,4808.76,3.0,0.0,0.0079837235056272,0.0109348934984116,4.0625,2.03125,0,1.0,1.312186388966169,5.982583009645718,4.535284058523925,6.90875477931522
20260626T120156Z-clean-run-eu-us-gac-v1__pilot-balanc--b58c0f00ffd6--tiregion_top_tenants__lookback_days-14__limit_k-100,0.9906775147040676,4000.0,1.0,4000.0,1,3.167235494880546,37.12,0.0,0.0,0.008,0.0122474487139158,2.0,1.0,0,1.0,0.0,5.064414385218368,2.2980974265246576,0.693142180597445
20260626T120220Z-clean-run-eu-us-gac-v1__pilot-balanc--e6ba65814cc6--region_user_value_topk__lookback_days-1__limit_k-25,0.992885083564667,16000.0,1.0,16000.0,1,2.87744,179.84,0.0,0.0,0.008,0.0122474487139158,2.0,1.0,0,1.0,0.0,2.4069451083182885,4.103424277922497,0.693142180597445
