query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T114026Z-clean-run-eu-us-gac-v1__pilot-balanc--9ae2eee364f6--fdw_user_segment_join__lookback_days-3__limit_k-100,0.376769258491728,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.7816232910775605,0.9165166352953806,0.0,0.0,0.0105396825396825,0.03,0.5298923194957792,0.5298923194957792,0.0,1.0,0.4425957648076051,0.9351908185604987,0.4425957648076051,0.6929303459228214
20260626T114047Z-clean-run-eu-us-gac-v1__pilot-balanc--7ff82d8a65bb--_tenant_id-100__us_tenant_id-10100__lookback_days-7,0.385270199730149,0.8813510338096907,0.5298923194957792,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038547653830923,0.019583666670619046,0.0,0.0,0.5,0.8669428542779241,0.5,0.9406755169048453
20260626T114102Z-clean-run-eu-us-gac-v1__pilot-balanc--cf58a22247ac--multi_dimension_rollup__lookback_days-7__limit_k-25,0.37621082712718396,0.9325002721652027,0.38586284191890446,0.9325002721652027,1.0,0.6010443615367107,0.870709997010095,0.0,0.0,0.0106935215946843,0.0265780730897009,0.5328662216172926,0.5328662216172926,0.0,1.0,0.8438160225582703,0.9306364161076301,0.8669428542779241,0.954244363816976
20260626T114121Z-clean-run-eu-us-gac-v1__pilot-balanc--18e4a849bf0b--t__gac_fdw_top_tenants__lookback_days-7__limit_k-50,0.3840015752605868,0.9236147927652361,0.38586284191890446,0.9236147927652361,1.0,0.6109235524297302,0.8293483874047196,0.0,0.0,0.008,0.03,0.38586284191890446,0.38586284191890446,0.0,1.0,0.5,0.9282470023497837,0.8253386284894471,0.6929303459228214
20260626T114141Z-clean-run-eu-us-gac-v1__pilot-balanc--c5f0b3a0235d--multi_dimension_rollup__lookback_days-3__limit_k-50,0.38042260318559357,0.9327900686827121,0.38586284191890446,0.9327900686827121,1.0,0.6010443615367107,0.8717508237278327,0.0,0.0,0.0079837235056272,0.0109348934984116,0.6482557582036192,0.5328662216172926,0.0,1.0,0.8488969086922336,0.9300327789956606,0.8791232121635404,0.954244363816976
20260626T114208Z-clean-run-eu-us-gac-v1__pilot-balanc--87ab183b9917--ollup__lookback_days-30__min_value-900__limit_k-100,0.36947172260164746,0.8947311107520624,0.38586284191890446,0.8947311107520624,0.0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.9322512881519462,0.9336195466549201,0.17566665612997812
20260626T114226Z-clean-run-eu-us-gac-v1__pilot-balanc--d3c81087e30d--ulti_dimension_rollup__lookback_days-30__limit_k-10,0.3574554131051133,0.9384584779451673,0.38586284191890446,0.9384584779451673,1.0,0.8195363940133366,0.9215417351965607,0.6021699719043225,0.0,0.0106935215946843,0.0265780730897009,0.5328662216172926,0.5328662216172926,0.0,1.0,0.7518356742223862,0.947275420371159,0.7855660371705957,0.954244363816976
20260626T114249Z-clean-run-eu-us-gac-v1__pilot-balanc--e5ccb3819851--__limit_k-100__payload_repeat-64__payload_width-512,0.3858498552717545,0.38586284191890446,0.9085306651080925,0.38586284191890446,1.0,0.7437651944347992,0.838573801209754,0.0,0.0,0.0081794685628405,0.0292458284324475,0.38586284191890446,0.38586284191890446,0.0,1.0,0.5,0.3934789123299773,0.5,0.045827206094604445
20260626T114304Z-clean-run-eu-us-gac-v1__pilot-balanc--068c334e695d--ollup__lookback_days-14__min_value-900__limit_k-100,0.3783851749453332,0.8947311107520624,0.38586284191890446,0.8947311107520624,0.0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.9193259761348676,0.9213001576924078,0.17566665612997812
20260626T114320Z-clean-run-eu-us-gac-v1__pilot-balanc--3defc2041615--gion_user_segment_join__lookback_days-7__limit_k-25,0.37626578663797494,0.9428395679765942,0.38586284191890446,0.9428395679765942,1.0,0.8091604005069208,0.9274156225804465,0.0,0.0,0.0079160104986876,0.0122474487139158,0.6460652404025354,0.5298923194957792,0.0,1.0,0.2789376450543253,0.9351908185604987,0.2789376450543253,0.6929303459228214
20260626T114349Z-clean-run-eu-us-gac-v1__pilot-balanc--bfb7f603474b--ac_fdw_daily_rollup__lookback_days-1__min_value-100,0.38535861665728477,0.9443451845935521,0.38586284191890446,0.9443451845935521,1.0,0.636874540115703,0.902750680881545,0.0,0.0,0.0079544304177819,0.0294636223511016,0.38586284191890446,0.38586284191890446,0.0,1.0,0.08088745082985216,0.9040223000487234,0.08088745082985216,0.6696155073854372
20260626T114408Z-clean-run-eu-us-gac-v1__pilot-balanc--aa7d9a00723a--fdw_user_segment_join__lookback_days-30__limit_k-50,0.3526778136324197,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.8295708288672935,0.9251292205399538,0.0,0.0,0.0105396825396825,0.03,0.5298923194957792,0.5298923194957792,0.0,1.0,0.4425957648076051,0.9458961712340371,0.4425957648076051,0.6929303459228214
20260626T114429Z-clean-run-eu-us-gac-v1__pilot-balanc--f77810cb1b3a--tenant_point_rollup__tenant_id-100__lookback_days-1,0.3857956299463095,0.8813510338096907,0.5298923194957792,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019583666670619046,0.019583666670619046,0.0,0.0,0.5,0.6226157631433327,0.5,0.9406755169048453
20260626T114444Z-clean-run-eu-us-gac-v1__pilot-balanc--ac2093b36f03--_fdw_global_user_join__lookback_days-1__limit_k-100,0.3765424794591201,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.782310205591057,0.9168556255614073,0.0,0.0,0.0105396825396825,0.0066666666666666,0.5298923194957792,0.5298923194957792,0.0,1.0,0.5,0.9384977849811166,0.5,0.6929303459228214
20260626T114505Z-clean-run-eu-us-gac-v1__pilot-balanc--de704aced79b--enant_point_rollup__tenant_id-1000__lookback_days-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
20260626T114520Z-clean-run-eu-us-gac-v1__pilot-balanc--9b4c753a2606--egion_tenant_tier_join__lookback_days-3__limit_k-10,0.38237524139489054,0.9401280070468321,0.38586284191890446,0.9401280070468321,1.0,0.6104142225901426,0.8934584779106224,0.0,0.0,0.0083582089552238,0.0103565472610255,0.5357795918870424,0.39248161744989635,0.0,1.0,0.5,0.9120690079112598,0.08230873905919633,0.954244363816976
20260626T114543Z-clean-run-eu-us-gac-v1__pilot-balanc--b384222632f1--_fdw_user_segment_join__lookback_days-7__limit_k-50,0.37115943984792676,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.782869832619255,0.9167176537718745,0.0,0.0,0.0105396825396825,0.03,0.5298923194957792,0.5298923194957792,0.0,1.0,0.4425957648076051,0.9351908185604987,0.4425957648076051,0.6929303459228214
20260626T114604Z-clean-run-eu-us-gac-v1__pilot-balanc--c60cefe42ed2--_fdw_global_user_join__lookback_days-3__limit_k-100,0.3750835611827192,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.7828716713402766,0.9169458036592653,0.0,0.0,0.0105396825396825,0.0066666666666666,0.5298923194957792,0.5298923194957792,0.0,1.0,0.5,0.9384977849811166,0.5,0.6929303459228214
20260626T114623Z-clean-run-eu-us-gac-v1__pilot-balanc--f25ee678287d--etl_user_segment_topk__lookback_days-30__limit_k-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929314209594523,0.5,0.6929314209594523,0.5
20260626T114638Z-clean-run-eu-us-gac-v1__pilot-balanc--6e8351e4cfc6--_tenant_tier_left_join__lookback_days-3__limit_k-25,0.3818174750352946,0.9347751626423345,0.38586284191890446,0.9347751626423345,1.0,0.6104142225901426,0.8754918264131694,0.0,0.0,0.0087686567164179,0.0248756218905472,0.39248161744989635,0.39248161744989635,0.0,1.0,0.30706857904054774,0.9114946875084333,0.08230873905919633,0.954244363816976
20260626T114657Z-clean-run-eu-us-gac-v1__pilot-balanc--ef5bcb70f647--time-default__gac_etl_local_rollup__lookback_days-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
20260626T114713Z-clean-run-eu-us-gac-v1__pilot-balanc--9ee7f72814a6--tenant_point_rollup__tenant_id-100__lookback_days-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
