pair_subset,radius_label,radius,pair_count,same_winner_count,same_winner_probability,wilson_95_low,wilson_95_high,unconditional_same_winner_probability,lift_over_baseline
confirmatory_vs_final_dba,pooled_q75,10.88910038929842,315,157,0.4984126984126984,0.4435499981541893,0.5533136468570375,0.5125925925925926,-0.014179894179894181
confirmatory_vs_final_dba,pooled_q100,23.38480098540922,675,346,0.5125925925925926,0.4749205475783369,0.5501221185392171,0.5125925925925926,0.0
confirmatory_vs_final_dba,frozen_P99,1.9533554892194174,0,0,,,,0.5125925925925926,
confirmatory_vs_topology,pooled_q01,0.5703068230743868,5,5,1.0,0.5655175352168251,1.0,0.5066666666666667,0.4933333333333333
confirmatory_vs_topology,pooled_q02,0.8825252608550558,14,7,0.5,0.26799202452413634,0.7320079754758637,0.5066666666666667,-0.00666666666666671
confirmatory_vs_topology,pooled_q05,1.3338642632289912,43,19,0.4418604651162791,0.30433309839170514,0.5889238554717591,0.5066666666666667,-0.06480620155038763
confirmatory_vs_topology,pooled_q10,1.787290698857044,70,35,0.5,0.3859571764530239,0.6140428235469761,0.5066666666666667,-0.00666666666666671
confirmatory_vs_topology,pooled_q20,3.0706016133213967,121,57,0.47107438016528924,0.3843989169791173,0.5595299663732161,0.5066666666666667,-0.03559228650137747
confirmatory_vs_topology,pooled_q30,5.164937109346913,216,116,0.5370370370370371,0.47047406921771445,0.6023056516130587,0.5066666666666667,0.03037037037037038
confirmatory_vs_topology,pooled_q50,8.115186700361631,367,181,0.49318801089918257,0.44237424432936345,0.5441429050317128,0.5066666666666667,-0.013478655767484138
confirmatory_vs_topology,pooled_q75,10.88910038929842,465,234,0.5032258064516129,0.45794129568334724,0.54845745584248,0.5066666666666667,-0.0034408602150538536
confirmatory_vs_topology,pooled_q100,23.38480098540922,675,342,0.5066666666666667,0.469019617026435,0.5442382650357996,0.5066666666666667,0.0
confirmatory_vs_topology,frozen_P99,1.9533554892194174,81,42,0.5185185185185185,0.41135648703875716,0.6240035838711533,0.5066666666666667,0.01185185185185178
confirmatory_vs_confirmatory,pooled_q01,0.5703068230743868,17,10,0.5882352941176471,0.3600544264299978,0.7838894320978518,0.4666666666666667,0.1215686274509804
confirmatory_vs_confirmatory,pooled_q02,0.8825252608550558,32,20,0.625,0.4525440735307745,0.7706611269054578,0.4666666666666667,0.15833333333333333
confirmatory_vs_confirmatory,pooled_q05,1.3338642632289912,57,29,0.5087719298245614,0.3825989849761273,0.6338371758159258,0.4666666666666667,0.04210526315789476
confirmatory_vs_confirmatory,pooled_q10,1.787290698857044,88,44,0.5,0.39774166700838975,0.6022583329916102,0.4666666666666667,0.033333333333333326
confirmatory_vs_confirmatory,pooled_q20,3.0706016133213967,105,49,0.4666666666666667,0.37411113671327867,0.5615751350819953,0.4666666666666667,0.0
confirmatory_vs_confirmatory,pooled_q30,5.164937109346913,105,49,0.4666666666666667,0.37411113671327867,0.5615751350819953,0.4666666666666667,0.0
confirmatory_vs_confirmatory,pooled_q50,8.115186700361631,105,49,0.4666666666666667,0.37411113671327867,0.5615751350819953,0.4666666666666667,0.0
confirmatory_vs_confirmatory,pooled_q75,10.88910038929842,105,49,0.4666666666666667,0.37411113671327867,0.5615751350819953,0.4666666666666667,0.0
confirmatory_vs_confirmatory,pooled_q100,23.38480098540922,105,49,0.4666666666666667,0.37411113671327867,0.5615751350819953,0.4666666666666667,0.0
confirmatory_vs_confirmatory,frozen_P99,1.9533554892194174,94,45,0.4787234042553192,0.3805716814684006,0.5785458536929418,0.4666666666666667,0.0120567375886525
