condition_id,metric,observed_repetitions,mean,standard_deviation,coefficient_of_variation,median,mad,robust_relative_dispersion,minimum,maximum
cond-b459da930a353f2ec5e0,main_root_actual_total_time_ms,3,1705.4666666666665,127.52058400247911,0.07477166601662055,1632.251,0.8160000000000309,0.0007411860063189092,1631.435,1852.714
cond-b77c7d171a33f4a835f2,elapsed_seconds,3,0.20753466666666667,0.010587905804895194,0.05101752866137317,0.206448,0.00891599999999998,0.06402998139967435,0.197532,0.218624
cond-b77c7d171a33f4a835f2,main_root_actual_total_time_ms,3,147.23266666666666,15.23040722808597,0.10344448397832436,147.631,14.62899999999999,0.14691328650486676,131.807,162.26
cond-b95414a49e47e1e18e23,elapsed_seconds,5,1.408264,0.04588138010130037,0.03258009868980558,1.421499,0.03676799999999991,0.0383484172693754,1.346463,1.458267
cond-b95414a49e47e1e18e23,main_root_actual_total_time_ms,5,1343.3881999999999,42.3358745474804,0.03151425220757515,1356.199,28.0329999999999,0.03064574284452344,1285.146,1384.232
cond-ba07470531ca335e20aa,elapsed_seconds,5,0.183044,0.014247520608863841,0.07783658906527305,0.189826,0.00533900000000001,0.04169924773213372,0.164284,0.195165
cond-ba07470531ca335e20aa,main_root_actual_total_time_ms,5,108.42739999999999,8.430058143334483,0.07774841177907506,111.44,6.003,0.07986403266331658,97.499,117.443
cond-bb2c7ac9eb6cbc37169c,elapsed_seconds,3,1.8246870000000002,0.06801622460119348,0.03727555717840565,1.850364,0.025763000000000202,0.020642545899077314,1.74757,1.876127
cond-bb2c7ac9eb6cbc37169c,main_root_actual_total_time_ms,3,1744.4930000000002,68.4071441517624,0.03921319498086974,1772.967,21.09699999999998,0.017641846802563144,1666.448,1794.064
cond-bb861cdd5341ce6892be,elapsed_seconds,3,2.558787666666667,0.026369163663896026,0.01030533483000844,2.564108,0.017983000000000082,0.010398000318239372,2.530164,2.582091
cond-bb861cdd5341ce6892be,main_root_actual_total_time_ms,3,2474.440666666667,25.561754249920718,0.010330316096992984,2476.327,22.679999999999836,0.013578726880577464,2447.988,2499.007
cond-bd140430ae62137804c5,elapsed_seconds,5,0.1267004,0.005850352279991352,0.046174694633887126,0.125611,0.005917000000000006,0.06983898066252166,0.119694,0.132817
cond-bd140430ae62137804c5,main_root_actual_total_time_ms,5,57.564800000000005,4.960022651157958,0.08616416023608103,56.286,3.440000000000005,0.09061123547596216,52.846,64.837
