query_run_id,hard_cluster,max_membership,top2_margin,membership_entropy,nearest_center_distance,nearest_center_distance_baseline_percentile,display_state,membership_c0,membership_c1,membership_c2,membership_c3
20260724T224520Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,2,0.972363123453543,0.9600353079305403,0.1553362308019544,1.1857255285388586,0.10590631364562118,clear_prototype,0.005357998796614569,0.009951062226839547,0.972363123453543,0.012327815523002796
20260724T224534Z-repeatability-v1__pilot-balanced-v1_--8af220979f3b--vent_filter_summary__lookback_days-1__min_value-100,1,0.414682695718397,0.05321420031890833,1.184632373841043,3.163091401437038,0.6792260692464358,mixed_boundary,0.36146849539948867,0.414682695718397,0.04829766949366917,0.17555113938844522
20260724T224549Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,3,0.45267131540671546,0.16127478491852348,1.2442650191785984,3.305997986714091,0.7194501018329938,mixed_boundary,0.12622628201804575,0.291396530488192,0.12970587208704687,0.45267131540671546
20260724T224604Z-repeatability-v1__pilot-balanced-v1_--1525488dceb3--gion_global_user_join__lookback_days-1__limit_k-100,0,0.7482517107826286,0.5926149193350325,0.7859951406525577,2.634326182008815,0.5458248472505092,clear_prototype,0.7482517107826286,0.15563679144759615,0.024308708689064144,0.07180278908071097
20260724T224622Z-repeatability-v1__pilot-balanced-v1_--4f19a423aa55--ion_global_user_join__lookback_days-30__limit_k-100,0,0.5283183738015007,0.2985457951273778,1.1731187177661626,5.721533872357704,0.9058044806517311,mixed_boundary,0.5283183738015007,0.2297725786741229,0.08182244384725038,0.16008660367712596
20260724T224641Z-repeatability-v1__pilot-balanced-v1_--2eb038d165f6--_rollup__lookback_days-7__min_value-500__limit_k-50,1,0.7665906099288764,0.6508116627609672,0.761379864047653,1.6564019534770418,0.2790224032586558,clear_prototype,0.09593298193440895,0.7665906099288764,0.02169746096880553,0.11577894716790911
20260724T224657Z-repeatability-v1__pilot-balanced-v1_--8ba735d7a28f--enant_id-1000__us_tenant_id-10005__lookback_days-14,2,0.9843929749186581,0.977452241216281,0.09674182719359416,0.9740944190057893,0.01680244399185336,clear_prototype,0.0030301899010695857,0.0056361014778954005,0.9843929749186581,0.006940733702377058
20260724T224711Z-repeatability-v1__pilot-balanced-v1_--523887f7556f--egion_global_user_join__lookback_days-7__limit_k-25,0,0.7451558107900655,0.5889127117726263,0.7933383516262402,2.668800365733569,0.5544806517311609,clear_prototype,0.7451558107900655,0.15624309901743932,0.024858768698572505,0.07374232149392254
20260724T224729Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,1,0.4036785170153568,0.015744855039822314,1.1655877667510866,3.102456607421298,0.6608961303462322,mixed_boundary,0.38793366197553447,0.4036785170153568,0.042368001805750614,0.16601981920335815
20260724T224744Z-repeatability-v1__pilot-balanced-v1_--24ccfd75cda8--_etl_global_user_topk__lookback_days-14__limit_k-50,3,0.8508163088800066,0.7520006260223044,0.5488559611657226,1.277452895647532,0.13441955193482688,clear_prototype,0.03341765528013842,0.09881568285770212,0.016950352982152774,0.8508163088800066
20260724T224758Z-repeatability-v1__pilot-balanced-v1_--da46db020e85---default__gac_fdw_event_full_scan_summary__case-001,2,0.29215056064227096,0.03794949193798586,1.3792807741414213,13.134440890066458,0.9923625254582484,weak_prototype_coverage,0.20906792451522355,0.2445804461382203,0.29215056064227096,0.2542010687042851
20260724T224812Z-repeatability-v1__pilot-balanced-v1_--69dc67f92ca9--ac_fdw_daily_rollup__lookback_days-3__min_value-900,3,0.37484389817428404,0.0844817287279605,1.324913030208835,4.4175139285830385,0.8355397148676171,mixed_boundary,0.17533737948424755,0.29036216944632354,0.15945655289514493,0.37484389817428404
20260724T224826Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,1,0.4036799267151832,0.015748876524815436,1.1655894042387276,3.102458826177461,0.6608961303462322,mixed_boundary,0.3879310501903678,0.4036799267151832,0.04236849484092512,0.16602052825352395
20260724T224841Z-repeatability-v1__pilot-balanced-v1_--39dfbb7c776b--time-default__gac_etl_local_rollup__lookback_days-7,3,0.9043451878977684,0.8423009532384695,0.39875249978463284,1.0650311795089487,0.025458248472505093,clear_prototype,0.022525133091847085,0.06204423465929887,0.011085444351085758,0.9043451878977684
20260724T224855Z-repeatability-v1__pilot-balanced-v1_--eeeba4945fcd--event_filter_summary__lookback_days-30__min_value-0,0,0.48256557495341756,0.15642543244880847,1.1333559165588944,3.3199868681449853,0.7209775967413442,mixed_boundary,0.48256557495341756,0.3261401425046091,0.041410211993929115,0.14988407054804423
