pair_id,coordinator_fanin_rows,coordinator_fanin_bytes_estimated,coordinator_final_rows,coordinator_non_foreign_time_share_proxy,coordinator_join_operator_count,remote_region_actual_rows_sum,remote_region_tuple_bytes_sum,remote_region_task_count_sum,remote_citus_dependent_map_task_count_sum,remote_citus_repartition_fanout_ratio_max,worker_task_actual_rows_sum,worker_task_scan_actual_rows_sum,regional_coordinator_tx_bytes_sum,analytics_rx_bytes_sum,worker_tx_bytes_sum,os_cpu_busy_pct_mean,os_mem_used_peak_bytes_max,os_disk_read_bytes_sum,os_disk_written_bytes_sum,scenario_level,dataset_size_class,stressed_template_id,dataset_profile_id,logical_question_id,target_log2_gain,correctness_recovery_applied
pair-430e12c1ff10e0251843f728,193371.0,13922712.0,9.0,0.0256955932390937,0.0,400000.0,20971520.0,24.0,128.0,5.333333333333333,200000.0,200000.0,14782801.0,13876023.0,27273555.0,35.89475,768036864.0,0.0,12591104.0,broad,medium,gac_fdw_single_edge_repartition_user_join_pair,pilot-balanced-v1,user_segment_topk,2.615005674214406,False
pair-43d3a30622caa73537ffa686,2.0,144.0,2.0,1.7591017523903347e-05,0.0,20110.0,2146304.0,24.0,64.0,2.6666666666666665,110.0,110.0,447309.0,13989.0,5429045.0,38.341,777842688.0,0.0,2146304.0,sparse,small,gac_fdw_single_edge_repartition_user_join_pair,raw-small-balanced-wide-global-dim-v1,user_segment_topk,5.044371170247677,False
pair-4a9934a0127135da813596f1,19384.0,1860864.0,100.0,0.0008683447178816,0.0,40000.0,2146304.0,24.0,64.0,2.6666666666666665,20000.0,20000.0,2284768.0,1855492.0,4150602.0,37.88025,778399744.0,0.0,4210688.0,broad,small,gac_fdw_single_edge_repartition_joined_event_sample_pair,raw-small-balanced-v1,joined_event_sample,3.887879084271429,False
pair-4aa98d824f6b81bd5c222c11,25.0,1800.0,4.0,1.1847359918942252e-05,0.0,200590.0,20971520.0,24.0,128.0,5.333333333333333,590.0,590.0,954718.0,47490.0,27267565.0,38.9565,776540160.0,0.0,12656640.0,sparse,medium,gac_fdw_single_edge_repartition_user_join_pair,pilot-balanced-v1,user_segment_topk,5.569489902218015,False
pair-4bc02ca5372695962bb0356e,193371.0,18563616.0,100.0,0.0029529315785555,0.0,400000.0,20971520.0,24.0,128.0,5.333333333333333,200000.0,200000.0,19738198.0,18798542.0,38942569.0,36.04975,777281536.0,0.0,9273344.0,broad,medium,gac_fdw_single_edge_repartition_joined_event_sample_pair,pilot-balanced-wide-global-dim-v1,joined_event_sample,2.649973140469914,False
pair-4e3a13650b36c1d8272df4a2,102.0,8976.0,95.0,1.4957594723597874e-05,0.0,2003216.0,213909504.0,24.0,256.0,10.666666666666666,3216.0,3216.0,2992881.0,274461.0,236822617.0,36.1065,864989184.0,139264.0,1438089216.0,sparse,large,gac_fdw_single_edge_repartition_user_value_topk_pair,raw-large-balanced-v1,joined_user_value_topk,6.327732227559116,False
pair-4e6562c03df59e409b250d62,14160.0,1359360.0,100.0,0.0001151823206725,0.0,2062616.0,213909504.0,24.0,256.0,10.666666666666666,62616.0,62616.0,8724527.0,5968255.0,270892982.0,36.78875,906502144.0,1040384.0,2021646336.0,moderate,large,gac_fdw_single_edge_repartition_joined_event_sample_pair,raw-large-balanced-wide-global-dim-v1,joined_event_sample,5.1546459216595,False
pair-4eaf92ffcdb172ecf66953df,578.0,41616.0,5.0,0.0001842670530047,0.0,22465.0,2146304.0,24.0,64.0,2.6666666666666665,2465.0,2465.0,608768.0,177324.0,5038169.0,39.882,779214848.0,0.0,3145728.0,moderate,small,gac_fdw_single_edge_repartition_user_join_pair,raw-small-balanced-wide-global-dim-v1,user_segment_topk,4.840380298875305,False
pair-4f9092428e3725998827f632,14160.0,1359360.0,100.0,0.0001130297468531,0.0,2062616.0,213909504.0,24.0,256.0,10.666666666666666,62616.0,62616.0,8705559.0,5967737.0,236829082.0,36.42975,876474368.0,16384.0,1480859648.0,moderate,large,gac_fdw_single_edge_repartition_joined_event_sample_pair,raw-large-balanced-v1,joined_event_sample,5.207866853279739,False
pair-53d2917cfec18989ebccd608,25.0,1800.0,4.0,1.1455422315005945e-05,0.0,200590.0,20971520.0,24.0,128.0,5.333333333333333,590.0,590.0,978428.0,46642.0,37469527.0,38.718,777736192.0,0.0,5578752.0,sparse,medium,gac_fdw_single_edge_repartition_user_join_pair,pilot-balanced-wide-global-dim-v1,user_segment_topk,5.714951059112703,False
