condition_id,execution_strategy,dataset_id,runtime_config_id,display_state,mean_pairwise_membership_l1,max_pairwise_membership_l1,mean_top_membership,mean_top2_margin,dominant_cluster_agreement
cond-7d0f79fc868b4ff8b06f,multiregion_union,pilot-region-imbalanced-v1,wan_0ms,clear_prototype,8.71273280990866e-06,1.306909921486299e-05,0.6269343740745071,0.4061021561897988,1.0
cond-7e08a2dad61485b9193f,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,3.1383745918202775e-05,4.70616911294082e-05,0.6841698129797579,0.4734343756478403,1.0
cond-7e57e053af0e3e8768f3,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,5.73641561598141e-07,8.604623423972115e-07,0.996541251701246,0.9944845304009734,1.0
cond-7e7bb6200a10d904a4ec,multiregion_union,pilot-balanced-v1,fetch_small,clear_prototype,7.633468241983905e-07,1.1450202362975855e-06,0.978955353120112,0.9659024754070876,1.0
cond-8174a6833910222c7e23,multiregion_union,pilot-skew-heavy-v1,fetch_small,clear_prototype,1.16805857322515e-06,1.7520878598377247e-06,0.9821988130897308,0.9710630014164994,1.0
cond-846d8b77c86400b75b64,multiregion_union,pilot-balanced-v1,default,clear_prototype,1.5586944090087804e-05,2.3380416135131707e-05,0.9867516910241666,0.9791356001300694,1.0
cond-877228963f14a73f246c,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,0.0001061445636294,0.0001929639505974,0.6841383039817439,0.4733651331748736,1.0
cond-8c59d73c305c0c5ae78c,fdw_raw,pilot-skew-heavy-v1,default,clear_prototype,1.6131243177908612e-06,2.419686476686292e-06,0.984200214568688,0.9747632036499018,1.0
cond-8c64ffbc156a42d5de5e,fdw_raw,pilot-balanced-v1,default,clear_prototype,5.285820253938828e-07,9.192641564777748e-07,0.9890467537946112,0.9824730251728084,1.0
cond-8dd5923c9b087c2d08c2,multiregion_union,pilot-balanced-v1,wan_0ms,clear_prototype,1.5049545211790842e-06,2.2574317817686262e-06,0.9322467126038866,0.8889010356628506,1.0
cond-8e10f074460e2452d761,etl_materialized,pilot-balanced-v1,default,clear_prototype,0.0,0.0,0.99801005485403,0.9970552357180336,1.0
cond-8e785df292aebfd07c13,single_region_citus,pilot-balanced-v1,default,clear_prototype,2.136099063835643e-07,3.204148595753465e-07,0.7942473629704329,0.6604571797160892,1.0
cond-92a1bd311fb0048702ea,single_region_citus,pilot-skew-heavy-v1,default,clear_prototype,0.1344057483635587,0.2016086219488738,0.7606479630710621,0.6044408411010479,1.0
cond-93b3ada989afb7c59810,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,clear_prototype,5.373412766355943e-05,8.060119149533914e-05,0.98477666211686,0.9760997500894996,1.0
cond-95138c034ddd84d6c91e,etl_materialized,pilot-skew-heavy-v1,default,clear_prototype,0.0,0.0,0.99801005485403,0.9970552357180336,1.0
cond-9698597d895bf28c92c9,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,wan_100ms,clear_prototype,9.976345030565545e-08,1.4964517545848317e-07,0.9758256259676532,0.9606142210608496,1.0
cond-98277f4a3e908871b5eb,multiregion_union,pilot-balanced-v1,default,clear_prototype,1.1542894017292436e-06,1.7314341025938653e-06,0.9946650020636671,0.991513232661098,1.0
